model,n_samples,split,strategy,metric,score,similar
yolo11n,64,test_a01,baseline,map50,0.8842,True
yolo11n,64,test_a01,bo_exploration,map50,0.8486,True
yolo11n,64,test_a01,bo_exploitation,map50,0.8614,True
yolo11n,64,test_a01,grid_search,map50,0.8197,True
yolo11n,64,test_a02,baseline,map50,0.653,True
yolo11n,64,test_a02,bo_exploration,map50,0.4964,True
yolo11n,64,test_a02,bo_exploitation,map50,0.4842,True
yolo11n,64,test_a02,grid_search,map50,0.3855,True
yolo11n,64,test_a03,baseline,map50,0.6559,True
yolo11n,64,test_a03,bo_exploration,map50,0.4427,True
yolo11n,64,test_a03,bo_exploitation,map50,0.6275,True
yolo11n,64,test_a03,grid_search,map50,0.48,True
yolo11n,64,test_b01,baseline,map50,0.4766,False
yolo11n,64,test_b01,bo_exploration,map50,0.3031,False
yolo11n,64,test_b01,bo_exploitation,map50,0.3095,False
yolo11n,64,test_b01,grid_search,map50,0.2,False
yolo11n,64,test_b02,baseline,map50,0.5498,False
yolo11n,64,test_b02,bo_exploration,map50,0.5094,False
yolo11n,64,test_b02,bo_exploitation,map50,0.4687,False
yolo11n,64,test_b02,grid_search,map50,0.4753,False
yolo11n,64,test_b03,baseline,map50,0.5017,False
yolo11n,64,test_b03,bo_exploration,map50,0.2302,False
yolo11n,64,test_b03,bo_exploitation,map50,0.4815,False
yolo11n,64,test_b03,grid_search,map50,0.0849,False
yolo11n,256,test_a01,baseline,map50,0.9259,True
yolo11n,256,test_a01,bo_exploration,map50,0.9096,True
yolo11n,256,test_a01,bo_exploitation,map50,0.9052,True
yolo11n,256,test_a01,grid_search,map50,0.8747,True
yolo11n,256,test_a02,baseline,map50,0.8149,True
yolo11n,256,test_a02,bo_exploration,map50,0.6999,True
yolo11n,256,test_a02,bo_exploitation,map50,0.7083,True
yolo11n,256,test_a02,grid_search,map50,0.7087,True
yolo11n,256,test_a03,baseline,map50,0.6533,True
yolo11n,256,test_a03,bo_exploration,map50,0.6136,True
yolo11n,256,test_a03,bo_exploitation,map50,0.6039,True
yolo11n,256,test_a03,grid_search,map50,0.5442,True
yolo11n,256,test_b01,baseline,map50,0.4543,False
yolo11n,256,test_b01,bo_exploration,map50,0.4209,False
yolo11n,256,test_b01,bo_exploitation,map50,0.4979,False
yolo11n,256,test_b01,grid_search,map50,0.3317,False
yolo11n,256,test_b02,baseline,map50,0.6576,False
yolo11n,256,test_b02,bo_exploration,map50,0.6339,False
yolo11n,256,test_b02,bo_exploitation,map50,0.6066,False
yolo11n,256,test_b02,grid_search,map50,0.5987,False
yolo11n,256,test_b03,baseline,map50,0.6059,False
yolo11n,256,test_b03,bo_exploration,map50,0.4526,False
yolo11n,256,test_b03,bo_exploitation,map50,0.3977,False
yolo11n,256,test_b03,grid_search,map50,0.3818,False
yolo11n,1024,test_a01,baseline,map50,0.9582,True
yolo11n,1024,test_a01,bo_exploration,map50,0.9485,True
yolo11n,1024,test_a01,bo_exploitation,map50,0.954,True
yolo11n,1024,test_a01,grid_search,map50,0.9326,True
yolo11n,1024,test_a02,baseline,map50,0.8292,True
yolo11n,1024,test_a02,bo_exploration,map50,0.7789,True
yolo11n,1024,test_a02,bo_exploitation,map50,0.7832,True
yolo11n,1024,test_a02,grid_search,map50,0.7765,True
yolo11n,1024,test_a03,baseline,map50,0.8031,True
yolo11n,1024,test_a03,bo_exploration,map50,0.7484,True
yolo11n,1024,test_a03,bo_exploitation,map50,0.7702,True
yolo11n,1024,test_a03,grid_search,map50,0.7721,True
yolo11n,1024,test_b01,baseline,map50,0.7977,False
yolo11n,1024,test_b01,bo_exploration,map50,0.6665,False
yolo11n,1024,test_b01,bo_exploitation,map50,0.5725,False
yolo11n,1024,test_b01,grid_search,map50,0.5714,False
yolo11n,1024,test_b02,baseline,map50,0.7704,False
yolo11n,1024,test_b02,bo_exploration,map50,0.6857,False
yolo11n,1024,test_b02,bo_exploitation,map50,0.7733,False
yolo11n,1024,test_b02,grid_search,map50,0.7733,False
yolo11n,1024,test_b03,baseline,map50,0.6758,False
yolo11n,1024,test_b03,bo_exploration,map50,0.6326,False
yolo11n,1024,test_b03,bo_exploitation,map50,0.5159,False
yolo11n,1024,test_b03,grid_search,map50,0.3835,False
yolo11m,64,test_a01,baseline,map50,0.9026,True
yolo11m,64,test_a01,bo_exploration,map50,0.8922,True
yolo11m,64,test_a01,bo_exploitation,map50,0.8942,True
yolo11m,64,test_a01,grid_search,map50,0.8784,True
yolo11m,64,test_a02,baseline,map50,0.7954,True
yolo11m,64,test_a02,bo_exploration,map50,0.7299,True
yolo11m,64,test_a02,bo_exploitation,map50,0.721,True
yolo11m,64,test_a02,grid_search,map50,0.7299,True
yolo11m,64,test_a03,baseline,map50,0.7236,True
yolo11m,64,test_a03,bo_exploration,map50,0.7475,True
yolo11m,64,test_a03,bo_exploitation,map50,0.6852,True
yolo11m,64,test_a03,grid_search,map50,0.6484,True
yolo11m,64,test_b01,baseline,map50,0.6321,False
yolo11m,64,test_b01,bo_exploration,map50,0.5186,False
yolo11m,64,test_b01,bo_exploitation,map50,0.6305,False
yolo11m,64,test_b01,grid_search,map50,0.4582,False
yolo11m,64,test_b02,baseline,map50,0.7465,False
yolo11m,64,test_b02,bo_exploration,map50,0.7325,False
yolo11m,64,test_b02,bo_exploitation,map50,0.7184,False
yolo11m,64,test_b02,grid_search,map50,0.6709,False
yolo11m,64,test_b03,baseline,map50,0.5719,False
yolo11m,64,test_b03,bo_exploration,map50,0.355,False
yolo11m,64,test_b03,bo_exploitation,map50,0.6601,False
yolo11m,64,test_b03,grid_search,map50,0.355,False
yolo11m,256,test_a01,baseline,map50,0.9401,True
yolo11m,256,test_a01,bo_exploration,map50,0.9323,True
yolo11m,256,test_a01,bo_exploitation,map50,0.9333,True
yolo11m,256,test_a01,grid_search,map50,0.933,True
yolo11m,256,test_a02,baseline,map50,0.7696,True
yolo11m,256,test_a02,bo_exploration,map50,0.7283,True
yolo11m,256,test_a02,bo_exploitation,map50,0.7355,True
yolo11m,256,test_a02,grid_search,map50,0.7507,True
yolo11m,256,test_a03,baseline,map50,0.8562,True
yolo11m,256,test_a03,bo_exploration,map50,0.842,True
yolo11m,256,test_a03,bo_exploitation,map50,0.842,True
yolo11m,256,test_a03,grid_search,map50,0.842,True
yolo11m,256,test_b01,baseline,map50,0.8164,False
yolo11m,256,test_b01,bo_exploration,map50,0.7878,False
yolo11m,256,test_b01,bo_exploitation,map50,0.8117,False
yolo11m,256,test_b01,grid_search,map50,0.7551,False
yolo11m,256,test_b02,baseline,map50,0.6813,False
yolo11m,256,test_b02,bo_exploration,map50,0.647,False
yolo11m,256,test_b02,bo_exploitation,map50,0.6494,False
yolo11m,256,test_b02,grid_search,map50,0.5834,False
yolo11m,256,test_b03,baseline,map50,0.3637,False
yolo11m,256,test_b03,bo_exploration,map50,0.3112,False
yolo11m,256,test_b03,bo_exploitation,map50,0.3798,False
yolo11m,256,test_b03,grid_search,map50,0.3003,False
yolo11m,1024,test_a01,baseline,map50,0.9522,True
yolo11m,1024,test_a01,bo_exploration,map50,0.9392,True
yolo11m,1024,test_a01,bo_exploitation,map50,0.9372,True
yolo11m,1024,test_a01,grid_search,map50,0.9198,True
yolo11m,1024,test_a02,baseline,map50,0.8819,True
yolo11m,1024,test_a02,bo_exploration,map50,0.8243,True
yolo11m,1024,test_a02,bo_exploitation,map50,0.8637,True
yolo11m,1024,test_a02,grid_search,map50,0.8177,True
yolo11m,1024,test_a03,baseline,map50,0.9036,True
yolo11m,1024,test_a03,bo_exploration,map50,0.8814,True
yolo11m,1024,test_a03,bo_exploitation,map50,0.8999,True
yolo11m,1024,test_a03,grid_search,map50,0.888,True
yolo11m,1024,test_b01,baseline,map50,0.8383,False
yolo11m,1024,test_b01,bo_exploration,map50,0.7566,False
yolo11m,1024,test_b01,bo_exploitation,map50,0.7644,False
yolo11m,1024,test_b01,grid_search,map50,0.6263,False
yolo11m,1024,test_b02,baseline,map50,0.6786,False
yolo11m,1024,test_b02,bo_exploration,map50,0.5974,False
yolo11m,1024,test_b02,bo_exploitation,map50,0.6381,False
yolo11m,1024,test_b02,grid_search,map50,0.648,False
yolo11m,1024,test_b03,baseline,map50,0.8332,False
yolo11m,1024,test_b03,bo_exploration,map50,0.824,False
yolo11m,1024,test_b03,bo_exploitation,map50,0.7163,False
yolo11m,1024,test_b03,grid_search,map50,0.426,False
yolo11n,64,test_a01,baseline,map50,0.91,True
yolo11n,64,test_a01,bo_exploration,map50,0.8693,True
yolo11n,64,test_a01,bo_exploitation,map50,0.8813,True
yolo11n,64,test_a01,grid_search,map50,0.8459,True
yolo11n,64,test_a02,baseline,map50,0.7985,True
yolo11n,64,test_a02,bo_exploration,map50,0.6786,True
yolo11n,64,test_a02,bo_exploitation,map50,0.6907,True
yolo11n,64,test_a02,grid_search,map50,0.7218,True
yolo11n,64,test_a03,baseline,map50,0.6702,True
yolo11n,64,test_a03,bo_exploration,map50,0.6202,True
yolo11n,64,test_a03,bo_exploitation,map50,0.5738,True
yolo11n,64,test_a03,grid_search,map50,0.6277,True
yolo11n,64,test_b01,baseline,map50,0.4679,False
yolo11n,64,test_b01,bo_exploration,map50,0.5098,False
yolo11n,64,test_b01,bo_exploitation,map50,0.5098,False
yolo11n,64,test_b01,grid_search,map50,0.5102,False
yolo11n,64,test_b02,baseline,map50,0.6515,False
yolo11n,64,test_b02,bo_exploration,map50,0.608,False
yolo11n,64,test_b02,bo_exploitation,map50,0.608,False
yolo11n,64,test_b02,grid_search,map50,0.6269,False
yolo11n,64,test_b03,baseline,map50,0.4839,False
yolo11n,64,test_b03,bo_exploration,map50,0.3285,False
yolo11n,64,test_b03,bo_exploitation,map50,0.1844,False
yolo11n,64,test_b03,grid_search,map50,0.1844,False
yolo11n,256,test_a01,baseline,map50,0.9412,True
yolo11n,256,test_a01,bo_exploration,map50,0.9288,True
yolo11n,256,test_a01,bo_exploitation,map50,0.9243,True
yolo11n,256,test_a01,grid_search,map50,0.9243,True
yolo11n,256,test_a02,baseline,map50,0.7487,True
yolo11n,256,test_a02,bo_exploration,map50,0.6982,True
yolo11n,256,test_a02,bo_exploitation,map50,0.6531,True
yolo11n,256,test_a02,grid_search,map50,0.6746,True
yolo11n,256,test_a03,baseline,map50,0.7564,True
yolo11n,256,test_a03,bo_exploration,map50,0.7102,True
yolo11n,256,test_a03,bo_exploitation,map50,0.7378,True
yolo11n,256,test_a03,grid_search,map50,0.7379,True
yolo11n,256,test_b01,baseline,map50,0.6453,False
yolo11n,256,test_b01,bo_exploration,map50,0.5992,False
yolo11n,256,test_b01,bo_exploitation,map50,0.5981,False
yolo11n,256,test_b01,grid_search,map50,0.5575,False
yolo11n,256,test_b02,baseline,map50,0.767,False
yolo11n,256,test_b02,bo_exploration,map50,0.7159,False
yolo11n,256,test_b02,bo_exploitation,map50,0.6987,False
yolo11n,256,test_b02,grid_search,map50,0.6987,False
yolo11n,256,test_b03,baseline,map50,0.5968,False
yolo11n,256,test_b03,bo_exploration,map50,0.3583,False
yolo11n,256,test_b03,bo_exploitation,map50,0.5021,False
yolo11n,256,test_b03,grid_search,map50,0.3995,False
yolo11n,1024,test_a01,baseline,map50,0.9548,True
yolo11n,1024,test_a01,bo_exploration,map50,0.9444,True
yolo11n,1024,test_a01,bo_exploitation,map50,0.9476,True
yolo11n,1024,test_a01,grid_search,map50,0.9398,True
yolo11n,1024,test_a02,baseline,map50,0.7898,True
yolo11n,1024,test_a02,bo_exploration,map50,0.7239,True
yolo11n,1024,test_a02,bo_exploitation,map50,0.7473,True
yolo11n,1024,test_a02,grid_search,map50,0.6897,True
yolo11n,1024,test_a03,baseline,map50,0.7473,True
yolo11n,1024,test_a03,bo_exploration,map50,0.7317,True
yolo11n,1024,test_a03,bo_exploitation,map50,0.7285,True
yolo11n,1024,test_a03,grid_search,map50,0.7406,True
yolo11n,1024,test_b01,baseline,map50,0.6892,False
yolo11n,1024,test_b01,bo_exploration,map50,0.5643,False
yolo11n,1024,test_b01,bo_exploitation,map50,0.5622,False
